Mean color of all country flags (R, G, B)
af: [0.31530920060331824, 0.2751131221719457, 0.17352941176470588]
za: [0.3684162895927602, 0.37926093514328807, 0.3765761689291101]
ax: [0.3968627450980392, 0.3941478129713424, 0.4064253393665158]
al: [0.8664145658263306, 0.0, 0.0]
dz: [0.527420814479638, 0.6634087481146305, 0.5857013574660633]
de: [0.6222222222222222, 0.269281045751634, 0.0]
ad: [0.6014705882352941, 0.33939775910364145, 0.3127731092436975]
ao: [0.42835595776772245, 0.051070889894419304, 0.0885369532428356]
ai: [0.23315686274509803, 0.25741176470588234, 0.46398039215686276]
aq: [0.4713273001508296, 0.6511613876319758, 0.8685369532428356]
ag: [0.530105580693816, 0.1988838612368024, 0.2387179487179487]
sa: [0.06879336349924585, 0.46304675716440424, 0.26209653092006036]
ar: [0.6335143288084465, 0.7736802413273002, 0.89710407239819]
am: [0.5996078431372549, 0.28627450980392155, 0.23254901960784313]
aw: [0.35352941176470587, 0.5884917043740573, 0.7634539969834088]
au: [0.1926078431372549, 0.2143921568627451, 0.45498039215686276]
at: [0.9529411764705882, 0.4407239819004525, 0.48295625942684767]
az: [0.39619607843137256, 0.5128039215686274, 0.45488235294117646]
bs: [0.21466666666666667, 0.43223529411764705, 0.346]
bh: [0.8702941176470588, 0.36970588235294116, 0.4253267973856209]
bd: [0.20738562091503268, 0.36098039215686273, 0.294640522875817]
bb: [0.2969079939668175, 0.33075414781297136, 0.3755052790346908]
by: [0.5810588235294117, 0.25688235294117645, 0.19227450980392158]
be: [0.6366666666666667, 0.34627450980392155, 0.16058823529411764]
bz: [0.365, 0.2109967320261438, 0.5179084967320261]
bj: [0.5695927601809955, 0.4776470588235294, 0.20597285067873303]
bm: [0.7417450980392157, 0.22554901960784313, 0.31923529411764706]
bt: [1.0, 0.6357616892911011, 0.2198340874811463]
bo: [0.603781512605042, 0.5104481792717087, 0.10700280112044817]
bq: [0.47159879336349925, 0.5243288084464555, 0.6387028657616893]
ba: [0.28758823529411764, 0.33594117647058824, 0.46050980392156865]
bw: [0.4036802413273001, 0.5804524886877828, 0.7011161387631976]
bv: [0.7567058823529412, 0.3163921568627451, 0.3726013071895425]
br: [0.1842156862745098, 0.6017366946778712, 0.228781512605042]
bn: [0.7920588235294118, 0.701156862745098, 0.27588235294117647]
bg: [0.6130718954248366, 0.5790849673202615, 0.5006535947712418]
bf: [0.48013574660633485, 0.4041176470588235, 0.2274660633484163]
bi: [0.6371078431372549, 0.6141503267973856, 0.47305555555555556]
